n|Itália, Itáliae|f|Italy|italics, italicize
n|memória, memóriae|f|memory, recollection|memoir, memorial, memorize, memorandum, commemorate
n|tempéstās, tempestā́tis|f|period of time, season; weather, storm|tempest, tempestuous; cf. tempus
adj|dúo, dúae, dúo|two
adj|trēs, trēs, tría|three
adj|mī́lle, mī́lle, mī́lia|thousand
n|(pl) mī́lia, mī́lium|n|thousands
indeclinable adj|quattuor|four
indeclinable adj|quīnque|five
indeclinable adj|sex|six
indeclinable adj|septem|seven
indeclinable adj|octō|eight
indeclinable adj|novem|nine
indeclinable adj|decem|ten
indeclinable adj|ūndecim|eleven
indeclinable adj|duodecim|twelve
indeclinable adj|tredecim|thirteen
indeclinable adj|quattuordecim|fourteen
indeclinable adj|quīndecim|fifteen
indeclinable adj|sēdecim|sixteen
indeclinable adj|septendecim|seventeen
indeclinable adj|duodēvīgintī|eighteen
indeclinable adj|ūndēvīgintī|nineteen
indeclinable adj|vīgintī|twenty
indeclinable adj|trīgintā|thirty
indeclinable adj|quadrāgintā|forty
indeclinable adj|quīnquāgintā|fifty
indeclinable adj|sexāgintā|sixty
indeclinable adj|septuāgintā|seventy
indeclinable adj|octōgintā|eighty
indeclinable adj|nōnāgintā|ninety
indeclinable adj|centum|one hundred
adj|ducentī, ducentae, ducenta|two hundred
adj|trecentī, trecentae, trecenta|three hundred
adj|quadringentī, quadringentae, quadringenta|four hundred
adj|quīngentī, quīngentae, quīngenta|five hundred
adj|sescentī, sescentae, sescenta|six hundred
adj|septingentī, septingentae, septingenta|seven hundred
adj|octingentī, octingentae, octingenta|eight hundred
adj|nōngentī, nōngentae, nōngenta|nine hundred
adj|prīmus, prīma, prīmum|first
adj|tertius, tertia, tertium|third
adj|quārtus, quārta, quārtum|fourth
adj|quīntus, quīnta, quīntum|fifth
adj|sextus, sexta, sextum|sixth
adj|septimus, septima, septimum|seventh
adj|octāvus, octāva, octāvum|eighth
adj|nōnus, nōna, nōnum|ninth
adj|decimus, decima, decimum|tenth
adj|ūndecimus, ūndecima, ūndecimum|eleventh
adj|duodecimus, duodecima, duodecimum|twelfth
adj|tertius decimus, tertia decima, tertium decimum|thirteenth
adj|quārtus decimus, quārta decima, quārtum decimum|fourteenth
adj|quīntus decimus, quīnta decima, quīntum decimum|fifteenth
adj|sextus decimus, sexta decima, sextum decimum|sixteenth
adj|septimus decimus, septima decima, septimum decimum|seventeenth
adj|duodēvīcēsimus, duodēvīcēsima, duodēvīcēsimum|eighteenth
adj|ūndēvīcēsimus, ūndēvīcēsima, ūndēvīcēsimum|nineteenth
adj|vīcēsimus, vīcēsima, vīcēsimum|twentieth
adj|vīcēsimus prīmus, vīcēsima prīma, vīcēsimum prīmum|twentieth
adj|trīcēsimus, trīcēsima, trīcēsimum|thirtieth
adj|quadrāgēsimus, quadrāgēsima, quadrāgēsimum|fortieth
adj|quīnquāgēsimus, quīnquāgēsima, quīnquāgēsimum|fiftieth
adj|sexāgēsimus, sexāgēsima, sexāgēsimum|sixtieth
adj|septuāgēsimus, septuāgēsima, septuāgēsimum|seventieth
adj|octōgēsimus, octōgēsima, octōgēsimum|eightieth
adj|nōnāgēsimus, nōnāgēsima, nōnāgēsimum|ninetieth
adj|centēsimus, centēsima, centēsimum|hundredth
adj|centēsimus prīmus, centēsima prīma, centēsimum prīmum|hundred and first
adj|duocentēsimus, duocentēsima, duocentēsimum|two hundredth
adj|trecentēsimus, trecentēsima, trecentēsimum|three hundredth
adj|quadringentēsimus, quadringentēsima, quadringentēsimum|four hundredth
adj|quīngentēsimus, quīngentēsima, quīngentēsimum|five hundredth
adj|sescentēsimus, sescentēsima, sescentēsimum|six hundredth
adj|septingentēsimus, septingentēsima, septingentēsimum|seven hundredth
adj|octingentēsimus, octingentēsima, octingentēsimum|eight hundredth
adj|nōngentēsimus, nōngentēsima, nōngentēsimum|nine hundredth
adj|mīllēsimus, mīllēsima, mīllēsimum|thousandth
adj|bis mīllēsimus, bis (?) mīllēsima, bis (?) mīllēsimum|two thousandth
adj|míser, mísera, míserum|wretched, miserable, unfortunate|misery, commiserate
prep+acc|ínter|between, among|intern, internal; common as Eng. prefix, e.g. interact, intercept, interdict|preposition
adv|ítaqaue|and so, therefore||adverb
v|commítto, commíttere, commī́sī, commíssum|to entrust, commit|committee, commission, commissary, commitment, noncommissioned, noncom
v|exspéctō, exspectā́re, exspectā́vi, exspectā́tum|to look for, expect, await|expectant, expectation
v|iáciō, iácere, iḗcī, iáctum|to throw, hurl|abject, adjective, conjecture, dejected, eject, inject, interject, object, project, reject, subject, trajectory
v|ēiciō, ēicere, ēiēcī, ēiectum|to throw out, drive out|cf iaciō, iacere
v|tímeō, timḗre, tímuī|to fear, be afraid (of)|timid, timorous, intimidate; cf. timor
