Typical examples of main clauses introducing relative clauses of characteristic are "{{c2::sunt quī}}," meaning, "{{c1::there are people who}}," "{{c2::quis est quī}}," meaning, "{{c1::who is there who}}," and, "{{c2::nēmō est quī}}," meaning, "{{c1::there is no one who}}."	Wheelock	38	
Some relative-pronoun clauses are not of characteristic, but have the force of {{c1::result, purpose, causal, or adversative clauses}} where the relative pronoun {{c1::stands in for ut, nē, or cum}}, and so also, like relative clauses of characteristic, {{c1::have a subordinate verb in the subjunctive mood}}.	Wheelock	38	
The supine is a/an {{c1::fourth}} declension verbal noun based on the same stem as the {{c1::perfect passive participle AKA fourth principal part}}; only two forms were in common use: {{c1::the accusative and ablative singular}}.	Wheelock	38	
Not only is "arbor, arboris" {{c1::feminine::gender}}, but so regularly are {{c1::the names of individual trees, regardless of declension}}.	Wheelock	38	
subjunctive case use: relative clause of characteristic . {{c1::1) introduced by relative pronoun 2) subordinate verb is subjunctive 3) antecedant is often general, indefinite, interrogative, or negative . 1) "would" sometimes in subordinate clause 2) "the sort of" or "the kind of" sometimes in main clause, to make clear that antecedant is indefinite::how to recognize . translation}} .	Wheelock	38	CaseUse
subjunctive case use: {{c1::relative clause of characteristic::subjunctive of ___}} . 1) introduced by relative pronoun 2) subordinate verb is subjunctive 3) antecedant is often general, indefinite, interrogative, or negative . {{c1::1) "would" sometimes in subordinate clause 2) "the sort of" or "the kind of" sometimes in main clause, to make clear that antecedant is indefinite::translation}} .	Wheelock	38	CaseUse
subjunctive case use: {{c1::relative clause of characteristic . 1) introduced by relative pronoun 2) subordinate verb is subjunctive 3) antecedant is often general, indefinite, interrogative, or negative::subjunctive of ___ . how to recognize}} . 1) "would" sometimes in subordinate clause 2) "the sort of" or "the kind of" sometimes in main clause, to make clear that antecedant is indefinite .	Wheelock	38	CaseUse
dative case use: reference or interest . {{c1::noun is 1) to whom or what a statement refers, 2) from whose perspective it is true, or 3) to whom it is of special interest, and 4) occassionally functions as an especially emotional possessive . "to" or "for" sometimes, but generally a more complex phrase depending on context::how to recognize . translation}} .	Wheelock	38	CaseUse
dative case use: {{c1::reference or interest::dative of ___}} . noun is 1) to whom or what a statement refers, 2) from whose perspective it is true, or 3) to whom it is of special interest, and 4) occassionally functions as an especially emotional possessive . {{c1::"to" or "for" sometimes, but generally a more complex phrase depending on context::translation}} .	Wheelock	38	CaseUse
dative case use: {{c1::reference or interest . noun is 1) to whom or what a statement refers, 2) from whose perspective it is true, or 3) to whom it is of special interest, and 4) occassionally functions as an especially emotional possessive::dative of ___ . how to recognize}} . "to" or "for" sometimes, but generally a more complex phrase depending on context .	Wheelock	38	CaseUse
ablative case use: supine . {{c1::1) 4th declension neuter ablative noun with same stem as a perfect passive participle, 2) with an adjective in the neuter ablative, 3) to indicate in what respect a particular quality is applicable . with infinitive or "in respect to" + present active participle::how to recognize . translation}} .	Wheelock	38	CaseUse
