caseUse|Dative|adjectives|adjective indicating attitude, quality, or relation, with dative object indicating the direction (literally or metaphorically) in which the adjective applies|"to", "toward", or "for."
caseUse|Dative|special verbs|verb indicating attitude or relationship, often intransitive|as though transitive, with nouns governed as direct object
caseUse|Dative|compound verbs|compound verb, often 1) with different meaning from simple verb, 2) functioning as the object of the prepositional prefix|depending on the compound verb
n|aéstās, aestā́tis|f|summer|estival, estivate, estivation; cf. aestus, aestuāre
n|aéstus, aéstūs|m|heat|cf. aestās, aestuāre
v|aéstuō, aestuā́re, aestuā́vī, aestuā́tum|to be hot, seethe, boil|cf. aestas, aestus
n|iā́nua, iā́nuae|f|door|janitor, Janus, January
n|péctus, péctoris|n|breast, heart|pectoral, expectorate, parapet
n|praémium, praémiī|n|reward, prize|premium
adj|īrā́tus, īrā́ta, īrā́tum|angry|irate; cf īra, īrāscor
v|īrā́scor, īrā́scī, īrā́tus sum|to be angry; cf īrātus, īra
v|fóveō, fovḗre, fṓvī, fṓtum|to comfort, nurture, cherish|foment
v|ignṓscō, ignṓscere, ignṓvī, ignṓtum|to grant pardon to, forgive
v|ímperō, imperā́re, imperā́vī, imperā́tum|to give orders to, command|imperative, emperor; cf. imperātor, imperium
v|mī́ror, mīrā́rī, mīrā́tus sum|to marvel at, admire, wonder|admire, marvel, miracle, mirage, mirror; cf. mīrāculum
n|mīrā́culum, mīrā́culī|marvel|miracle
v|nóceō, nocḗre, nócuī, nócitum|to do harm to, harm, injure|innocent, innocuous, nuisance, obnoxious; cognate with necō
v|nū́bō, nū́bere, nū́psī, nū́ptum|(with acc) to cover, veil; (with dat) to be married to, marry|nubile, connubial, nuptials; cf. nūptiae, marriage
v|párcō, párcere, pepércī, parsū́rum|to be lenient to, spare|parsimonious, parsimony
v|pā́reō, pārḗre, pā́ruī|to be obedient to, obey|apparent, appear, apparition
v|persuā́deō, persuādḗre, persuā́sī, persuā́sum|to succeed in urging, persuade, convince|assuage, dissuade, suasion; cf. suāvis
v|pláceō, placḗre, plácuī, plácitum|to be pleasing to, please|complacent, placable, implacable, placate, placid, plea, plead, pleasure
v|sápiō, sápere, sapī́vī|to have good taste; have good sense, be wise|sapient, sapid, insipid, sage, savor; cf. sapiēns, sapientia
v|sérviō, servī́re, servī́vī, servī́tum|to be a slave to, serve|service, disservice, subservient, servile, servility, deserve, desert=reward, dessert; cf. servus, servitūs
v|subrī́deō, subrīdḗre, subrī́sī, subrī́sum|to smile (down) upon|cf. rīdeō, rīdiculus

