ā&nbsp;in Latin is pronounced as in the English: {{c1::father}}	Wheelock	0	wereBasic
ē&nbsp;in Latin is pronounced as in the English: {{c1::meh, longly held}}	Wheelock	0	wereBasic
ī&nbsp;in Latin is pronounced as in the English: {{c1::machine, longly held}}	Wheelock	0	wereBasic
ō&nbsp;in Latin is pronounced as in the English: {{c1::clover, longly held}}	Wheelock	0	wereBasic
ū&nbsp;in Latin is pronounced as in the English: {{c1::rude, longly held}}	Wheelock	0	wereBasic
ȳ&nbsp;in Latin is pronounced as in the English: {{c1::machine, longly held}}	Wheelock	0	wereBasic
a&nbsp;in Latin is pronounced as in the English: {{c1::Dinah}}	Wheelock	0	wereBasic
e&nbsp;in Latin is pronounced as in the English: {{c1::pet}}	Wheelock	0	wereBasic
i in Latin is pronounced as in the English: {{c1::pin}}, or {{c1::consonantal Y}} when {{c1::1) at the start of a word before another vowel, 2) within a word between two vowels, forming a diphthong with the former and also the consonant y before the following vowel.}}	Wheelock	0	wereBasic
o&nbsp;in Latin is pronounced as in the English: {{c1::orb, off}}	Wheelock	0	wereBasic
u&nbsp;in Latin is pronounced as in the English: {{c1::put}}	Wheelock	0	wereBasic
y&nbsp;in Latin is pronounced as in the English: {{c1::tu, über}}	Wheelock	0	wereBasic
ae&nbsp;is pronounced as in the English: {{c1::ai in aisle}}	Wheelock	0	wereBasic
au&nbsp;in Latin is pronounced as in the English: {{c1::ou in house}}	Wheelock	0	wereBasic
ei&nbsp;in Latin is pronounced as in the English: {{c1::reign}}	Wheelock	0	wereBasic
eu&nbsp;in Latin is pronounced as in the English: {{c1::pet plus put as one syllable (rare)}}	Wheelock	0	wereBasic
oe&nbsp;in Latin is pronounced as in the English: {{c1::oil}}	Wheelock	0	wereBasic
ui&nbsp;in Latin is pronounced as in the English: {{c1::gooey as one syllable}}, only in {{c1::huius, cuius, huic, cui, hui}}. Otherwise {{c1::not-diphthong}}	Wheelock	0	wereBasic
bs&nbsp;in Latin is pronounced as in the English: {{c1::ps}}	Wheelock	0	wereBasic
bt&nbsp;in Latin is pronounced as in the English: {{c1::pt}}	Wheelock	0	wereBasic
c&nbsp;is pronounced as in the English: {{c1::always hard: k}}	Wheelock	0	wereBasic
g&nbsp;is pronounced as in the English: {{c1::always hard: get not gem}}	Wheelock	0	wereBasic
h&nbsp;in Latin is pronounced as in the English: {{c1::soft aspirate}}	Wheelock	0	wereBasic
m&nbsp;in Latin is pronounced as in the English: {{c1::m}}, perhaps {{c1::with lips open and nasalized}} when {{c1::at the end of a word and following a vowel}}	Wheelock	0	wereBasic
q&nbsp;is pronounced as in the English: {{c1::always with u as in English, same sound as English, not French}}	Wheelock	0	wereBasic
r&nbsp;in Latin is pronounced as in the English: {{c1::trilled (Italian?)}}	Wheelock	0	wereBasic
s&nbsp;in Latin is pronounced as in the English: {{c1::see (voiceless), never ease (voiced)}}	Wheelock	0	wereBasic
t&nbsp;in Latin is pronounced as in the English: {{c1::tired, never nation nor mention}}	Wheelock	0	wereBasic
v&nbsp;in Latin is pronounced as in the English: {{c1::w}}	Wheelock	0	wereBasic
x&nbsp;in Latin is pronounced as in the English: {{c1::ks as in axle, never gz as in exert.}}	Wheelock	0	wereBasic
ch&nbsp;is pronounced as in the English: {{c1::always hard: blockhead, not church, from Greek chi}}	Wheelock	0	wereBasic
ph&nbsp;in Latin is pronounced as in the English: {{c1::uphill, not philosophy, from Greek phi}}	Wheelock	0	wereBasic
th&nbsp;in Latin is pronounced as in the English: {{c1::hothouse, not thin nor the, from Greek theta}}	Wheelock	0	wereBasic
rr in Latin is pronounced as in the English: {{c1::Watch the cur run.}}	Wheelock	0	wereBasic
tt&nbsp;is pronounced as in the English: {{c1::Admit ten.}}	Wheelock	0	wereBasic
long by position: short vowel followed by two or more consonants OR {{c1::x}}	Wheelock	0	wereBasic
long by position: short vowel followed by two or more consonants EXCEPT {{c1::qu, ch, ph, th, [:stop][:liquid]}}	Wheelock	0	wereBasic
the "stop" consonants are {{c1::p, b, t, d, c, and g}}	Wheelock	0	wereBasic
the "liquid" consonants are {{c1::r and l}}	Wheelock	0	wereBasic
